file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,class,3,5,2,3,17,1,0,38,59,0.82666665,0.10714286,0.10714286,15,1,8,7,0,0,8,0,0,0,10,0,0,10,0,0,2,0,9,86,9,1,1,0,0,13,0,15,5,19,2,0,0,3,53,1,1
C:\DataSphereStudio-master\dss-appconn\dss-appconn-manager\dss-appconn-manager-core\src\main\java\com\webank\wedatasphere\dss\appconn\manager\entity\AppInstanceInfo.java,com.webank.wedatasphere.dss.appconn.manager.entity.AppInstanceInfo,interface,0,2,2,0,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-workflow-server\src\main\java\com\webank\wedatasphere\dss\workflow\entity\DSSFlowImportParam.java,com.webank.wedatasphere.dss.workflow.entity.DSSFlowImportParam,class,1,3,2,1,12,1,0,0,54,0.8333333,0.09090909,0.09090909,12,0,12,0,0,0,12,0,0,0,6,0,0,6,0,0,0,0,0,44,6,0,0,0,0,0,0,6,0,6,0,0,0,0,22,1,0
C:\DataSphereStudio-master\dss-standard\development-standard\development-process-standard\src\main\java\com\webank\wedatasphere\dss\standard\app\development\service\RefExportService.java,com.webank.wedatasphere.dss.standard.app.development.service.RefExportService,interface,4,9,5,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
C:\DataSphereStudio-master\dss-framework\dss-framework-admin-service\src\main\java\com\webank\wedatasphere\dss\framework\admin\util\OkHttpHelper.java,com.webank.wedatasphere.dss.framework.admin.util.OkHttpHelper,class,5,8,3,5,5,1,0,10,0,0.5833333,0.0,0.0,4,2,3,1,0,0,3,0,0,0,3,2,1,2,0,0,1,0,1,29,3,0,0,0,0,2,1,5,2,5,1,0,1,0,31,1,1
C:\DataSphereStudio-master\dss-commons\dss-common\src\main\java\com\webank\wedatasphere\dss\common\protocol\project\ProjectRelationResponse.java,com.webank.wedatasphere.dss.common.protocol.project.ProjectRelationResponse,class,1,1,0,1,9,1,0,0,12,0.6666667,0.33333334,1.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,0,0,0,36,4,0,0,0,0,0,0,8,0,4,0,0,0,0,15,1,0
C:\DataSphereStudio-master\dss-apps\dss-apiservice-server\src\main\java\com\webank\wedatasphere\dss\apiservice\core\service\impl\ApiServiceQueryServiceImpl.java,com.webank.wedatasphere.dss.apiservice.core.service.impl.ApiServiceQueryServiceImpl,class,42,43,1,42,44,1,0,130,25,0.8531469,0.46666667,1.0,11,2,6,5,0,0,6,0,0,0,13,4,0,12,0,1,1,0,21,287,12,3,13,4,2,50,16,62,15,69,5,0,1,10,109,1,6
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-workflow-server\src\main\java\com\webank\wedatasphere\dss\workflow\scheduler\DssJobThreadPool.java,com.webank.wedatasphere.dss.workflow.scheduler.DssJobThreadPool,class,0,1,1,0,2,1,0,2,1,0.6666667,0.0,0.0,2,2,2,0,0,0,2,0,0,0,3,3,1,2,0,0,0,0,0,11,2,0,0,0,0,3,2,3,0,3,0,0,0,0,13,1,0
C:\DataSphereStudio-master\dss-appconn\appconns\dss-schedulis-appconn\src\main\java\com\webank\wedatasphere\dss\appconn\schedulis\constant\AzkabanConstant.java,com.webank.wedatasphere.dss.appconn.schedulis.constant.AzkabanConstant,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0,11,0,0,13,0,0,0,0,0,11,0,11,0,11,0,0,0,0,26,1,0
C:\DataSphereStudio-master\dss-orchestrator\orchestrators\dss-workflow\dss-workflow-server\src\main\java\com\webank\wedatasphere\dss\workflow\service\impl\DSSFlowServiceImpl.java,com.webank.wedatasphere.dss.workflow.service.impl.DSSFlowServiceImpl,class,34,35,1,34,54,1,0,126,58,0.8416667,0.35238096,0.52380955,24,0,15,9,0,0,15,0,0,0,10,2,0,10,0,0,2,0,7,324,21,6,9,3,1,59,11,82,14,83,3,1,0,2,139,1,11
C:\DataSphereStudio-master\dss-appconn\dss-scheduler-appconn\src\main\java\com\webank\wedatasphere\dss\appconn\scheduler\structure\orchestration\ref\RefOrchestrationContentRequestRef.java,com.webank.wedatasphere.dss.appconn.scheduler.structure.orchestration.ref.RefOrchestrationContentRequestRef$RefOrchestrationContentRequestRefImpl,innerclass,3,3,0,3,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
C:\DataSphereStudio-master\dss-standard\development-standard\development-process-standard\src\main\java\com\webank\wedatasphere\dss\standard\app\development\utils\DevelopmentOperationUtils.java,com.webank.wedatasphere.dss.standard.app.development.utils.DevelopmentOperationUtils,class,13,15,2,13,17,1,0,17,10,0.8,0.0,0.0,5,5,5,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,6,49,5,0,7,0,0,6,3,5,2,5,1,0,0,0,47,1,3
C:\DataSphereStudio-master\dss-apps\dss-data-api\dss-data-api-server\src\main\java\com\webank\wedatasphere\dss\data\api\server\util\JdbcUtil.java,com.webank.wedatasphere.dss.data.api.server.util.JdbcUtil,class,2,4,2,2,26,1,0,21,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,116,6,2,4,4,0,19,1,19,2,13,3,0,0,0,54,1,4
C:\DataSphereStudio-master\dss-appconn\appconns\dss-dolphinscheduler-appconn\src\main\java\com\webank\wedatasphere\dss\appconn\dolphinscheduler\conversion\NodeConverter.java,com.webank.wedatasphere.dss.appconn.dolphinscheduler.conversion.NodeConverter,class,13,15,2,13,6,1,0,41,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,5,57,2,0,1,1,0,31,1,13,2,16,3,0,0,2,55,1,1
C:\DataSphereStudio-master\dss-framework\dss-framework-orchestrator-server\src\main\java\com\webank\wedatasphere\dss\orchestrator\server\entity\vo\CommonOrchestratorVo.java,com.webank.wedatasphere.dss.orchestrator.server.entity.vo.CommonOrchestratorVo,class,0,3,3,0,6,1,0,0,9,0.8,0.2,0.2,6,0,6,0,0,0,6,0,0,0,5,2,0,3,0,2,2,0,0,25,3,0,0,0,0,2,0,6,0,5,0,0,0,0,23,1,0
C:\DataSphereStudio-master\dss-standard\structure-standard\dss-structure-integration-standard\src\main\java\com\webank\wedatasphere\dss\standard\app\structure\project\ProjectUpdateOperation.java,com.webank.wedatasphere.dss.standard.app.structure.project.ProjectUpdateOperation,interface,4,5,1,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0
C:\DataSphereStudio-master\dss-framework\dss-framework-workspace-server\src\main\java\com\webank\wedatasphere\dss\framework\workspace\bean\vo\DSSWorkspacePrivVO.java,com.webank.wedatasphere.dss.framework.workspace.bean.vo.DSSWorkspacePrivVO,class,3,6,3,3,11,1,0,0,13,0.7090909,0.38181818,0.8181818,11,0,11,0,0,0,11,0,0,0,5,1,0,5,0,0,1,0,0,42,5,0,0,0,0,5,1,9,2,5,0,0,0,0,25,1,0
