file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,writeBody/1[T],false,108,2,1,0,1,3,8,15,0,3,1,8,0,0,1,1,0,0,2,0,3,0,2,0,0,0,17,2,0,false
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,reduce/1[java.util.List<java.lang.String>],false,124,0,0,0,0,1,3,3,1,2,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5,2,0,false
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,unCamel/1[java.lang.String],false,148,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,true
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,write/0,false,82,1,3,0,3,1,8,8,1,3,0,8,0,0,0,0,0,0,4,0,1,3,0,0,0,1,12,1,1,true
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,writeHead/0,false,134,1,1,0,1,1,9,4,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,2,0,true
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,"MetaWriter/2[java.lang.Class<T>,java.lang.String]",true,48,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,ignore/1[java.lang.String[]],false,57,2,0,0,0,1,4,4,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,writeBody/0,false,104,0,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,write/1[java.io.OutputStream],false,97,1,3,0,3,1,4,6,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,true
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,comment/1[java.lang.String[]],false,72,2,0,0,0,1,4,4,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
