file,class,method,variable,usage
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,writeBody/1[T],t,1
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,writeBody/1[T],field,1
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,writeBody/1[T],line,3
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,writeBody/1[T],declaredField,2
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,writeBody/1[T],o,2
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,reduce/1[java.util.List<java.lang.String>],a,1
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,reduce/1[java.util.List<java.lang.String>],b,1
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,reduce/1[java.util.List<java.lang.String>],strs,1
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,unCamel/1[java.lang.String],str,0
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,write/0,a,1
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,write/0,b,1
C:\DataSphereStudio-master\dss-framework\framework-plugins\dss-framework-orchestrator-publish\src\main\java\com\webank\wedatasphere\dss\orchestrator\publish\io\export\MetaWriter.java,com.webank.wedatasphere.dss.orchestrator.publish.io.export.MetaWriter,write/0,tableStr,2
