file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\gui\SXDialog.java,org.sikuli.support.gui.SXDialog$ImageLink,innerclass,4,4,0,4,3,3,0,3,1,0.33333334,0.33333334,0.33333334,3,0,0,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,1,15,0,0,0,0,0,1,0,2,0,1,0,0,0,0,17,0,0
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\SikulixIDE.java,org.sikuli.ide.SikulixIDE$ButtonOffset,innerclass,5,5,0,5,5,8,0,6,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,1,0,0,5,2,11,0,7,2,0,0,0,32,0,0
C:\SikuliX1-master\API\src\main\java\org\sikuli\guide\SxAnchor.java,org.sikuli.guide.SxAnchor$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\SikuliX1-master\API\src\main\java\org\sikuli\natives\GenericOsUtil.java,org.sikuli.natives.GenericOsUtil$GenericOsProcess,innerclass,2,2,0,2,9,1,0,11,0,0.16666667,0.6666667,0.6666667,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,28,6,0,2,0,1,1,0,1,0,3,1,0,0,2,17,12,0
C:\SikuliX1-master\API\src\main\java\org\sikuli\guide\Tracker.java,org.sikuli.guide.TrackerListener,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\EditorPaneUndoRedo.java,org.sikuli.ide.EditorPaneUndoRedo,class,3,6,3,3,3,3,0,6,0,0.22222222,1.0,1.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,1,70,1,0,0,0,0,0,0,3,0,3,0,0,2,0,16,1,0
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\support\ide\syntaxhighlight\scan\EndOfText.java,org.sikuli.support.ide.syntaxhighlight.scan.EndOfText,class,0,1,1,0,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,13,1,0
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\support\runner\PythonRunner.java,org.sikuli.support.runner.PythonRunner,class,7,9,2,7,7,3,0,12,10,0.8,0.0,0.0,5,0,4,0,1,0,5,0,0,0,3,3,3,0,0,0,3,0,7,37,6,0,0,0,0,7,5,7,0,7,1,0,0,0,36,1,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\gui\SXDialog.java,org.sikuli.support.gui.SXDialog$HtmlItem,innerclass,3,3,0,3,2,3,0,9,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,3,0,2,1,2,0,0,0,0,14,0,0
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\support\ide\IIDESupport.java,org.sikuli.support.ide.IIDESupport,interface,2,8,6,2,4,3,0,0,6,0.0,0.0,0.0,4,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1,0
