file,class,method,variable,usage
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\gui\SXDialog.java,org.sikuli.support.gui.SXDialog$ImageLink,mouseClick/1[java.awt.event.MouseEvent],aLink,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\gui\SXDialog.java,org.sikuli.support.gui.SXDialog$ImageLink,"ImageLink/2[java.net.URL,java.lang.String]",aLink,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\natives\GenericOsUtil.java,org.sikuli.natives.GenericOsUtil$GenericOsProcess,isRunning/0,process,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\natives\GenericOsUtil.java,org.sikuli.natives.GenericOsUtil$GenericOsProcess,getName/0,process,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\natives\GenericOsUtil.java,org.sikuli.natives.GenericOsUtil$GenericOsProcess,close/1[boolean],process,4
C:\SikuliX1-master\API\src\main\java\org\sikuli\natives\GenericOsUtil.java,org.sikuli.natives.GenericOsUtil$GenericOsProcess,GenericOsProcess/1[java.lang.ProcessHandle],process,3
C:\SikuliX1-master\API\src\main\java\org\sikuli\natives\GenericOsUtil.java,org.sikuli.natives.GenericOsUtil$GenericOsProcess,getPid/0,process,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\EditorPaneUndoRedo.java,org.sikuli.ide.EditorPaneUndoRedo,getUndoManager/0,undoManager,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\EditorPaneUndoRedo.java,org.sikuli.ide.EditorPaneUndoRedo,undoableEditHappened/1[javax.swing.event.UndoableEditEvent],redoAction,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\EditorPaneUndoRedo.java,org.sikuli.ide.EditorPaneUndoRedo,undoableEditHappened/1[javax.swing.event.UndoableEditEvent],undoManager,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\EditorPaneUndoRedo.java,org.sikuli.ide.EditorPaneUndoRedo,undoableEditHappened/1[javax.swing.event.UndoableEditEvent],undoAction,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\EditorPaneUndoRedo.java,org.sikuli.ide.EditorPaneUndoRedo,EditorPaneUndoRedo/0,redoAction,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\EditorPaneUndoRedo.java,org.sikuli.ide.EditorPaneUndoRedo,EditorPaneUndoRedo/0,undoManager,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\EditorPaneUndoRedo.java,org.sikuli.ide.EditorPaneUndoRedo,EditorPaneUndoRedo/0,undoAction,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\support\runner\PythonRunner.java,org.sikuli.support.runner.PythonRunner,getType/0,TYPE,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\support\runner\PythonRunner.java,org.sikuli.support.runner.PythonRunner,getName/0,NAME,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\support\runner\PythonRunner.java,org.sikuli.support.runner.PythonRunner,getExtensions/0,EXTENSIONS,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,initialize/0,observedRegion,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,initialize/0,lvl,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,initialize/0,eventStates,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,initialize/0,eventMatches,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,initialize/0,eventNames,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,initialize/0,eventCounts,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,initialize/0,shouldStopOnFirstEvent,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,callChangeObserver/1[java.util.List<org.sikuli.script.Region>],observedRegion,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,callChangeObserver/1[java.util.List<org.sikuli.script.Region>],lvl,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,callChangeObserver/1[java.util.List<org.sikuli.script.Region>],eventNames,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,callChangeObserver/1[java.util.List<org.sikuli.script.Region>],eventCallBacks,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,callChangeObserver/1[java.util.List<org.sikuli.script.Region>],eventTypes,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,callChangeObserver/1[java.util.List<org.sikuli.script.Region>],eventCounts,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,getCount/1[java.lang.String],eventCounts,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,hasObservers/0,eventNames,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"callEventObserver/3[java.lang.String,org.sikuli.script.Match,long]",observedRegion,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"callEventObserver/3[java.lang.String,org.sikuli.script.Match,long]",lvl,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"callEventObserver/3[java.lang.String,org.sikuli.script.Match,long]",eventNames,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"callEventObserver/3[java.lang.String,org.sikuli.script.Match,long]",eventCallBacks,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"callEventObserver/3[java.lang.String,org.sikuli.script.Match,long]",eventTypes,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkPatterns/1[org.sikuli.script.ScreenImage],eventRepeatWaitTimes,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkPatterns/1[org.sikuli.script.ScreenImage],observedRegion,7
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkPatterns/1[org.sikuli.script.ScreenImage],lvl,5
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkPatterns/1[org.sikuli.script.ScreenImage],eventStates,10
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkPatterns/1[org.sikuli.script.ScreenImage],eventMatches,3
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkPatterns/1[org.sikuli.script.ScreenImage],eventNames,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkPatterns/1[org.sikuli.script.ScreenImage],eventTypes,5
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkPatterns/1[org.sikuli.script.ScreenImage],eventCounts,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkPatterns/1[org.sikuli.script.ScreenImage],shouldStopOnFirstEvent,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,getNames/0,eventNames,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkChanges/1[org.sikuli.script.ScreenImage],eventRepeatWaitTimes,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkChanges/1[org.sikuli.script.ScreenImage],observedRegion,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkChanges/1[org.sikuli.script.ScreenImage],lastImage,4
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkChanges/1[org.sikuli.script.ScreenImage],lvl,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkChanges/1[org.sikuli.script.ScreenImage],eventStates,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkChanges/1[org.sikuli.script.ScreenImage],changeEventName,3
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,checkChanges/1[org.sikuli.script.ScreenImage],shouldStopOnFirstEvent,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"setActive/2[java.lang.String,boolean]",eventStates,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"setActive/2[java.lang.String,boolean]",eventNames,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,patternsToCheck/0,eventStates,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,patternsToCheck/0,eventNames,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,patternsToCheck/0,eventTypes,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,getMinChanges/0,eventNames,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,getMinChanges/0,eventTypes,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,Observer/1[org.sikuli.script.Region],observedRegion,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"log/3[int,java.lang.String,java.lang.Object[]]",me,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"repeat/2[java.lang.String,long]",eventRepeatWaitTimes,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"repeat/2[java.lang.String,long]",observedRegion,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"repeat/2[java.lang.String,long]",lvl,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"repeat/2[java.lang.String,long]",eventStates,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"repeat/2[java.lang.String,long]",eventTypes,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,removeObserver/1[java.lang.String],eventRepeatWaitTimes,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,removeObserver/1[java.lang.String],numChangeObservers,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,removeObserver/1[java.lang.String],eventStates,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,removeObserver/1[java.lang.String],eventMatches,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,removeObserver/1[java.lang.String],eventCallBacks,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,removeObserver/1[java.lang.String],numChangeCallBacks,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,removeObserver/1[java.lang.String],eventNames,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,removeObserver/1[java.lang.String],eventTypes,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,removeObserver/1[java.lang.String],eventCounts,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,setStopOnFirstEvent/0,shouldStopOnFirstEvent,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"addObserver/4[PSC,org.sikuli.script.ObserverCallBack,java.lang.String,org.sikuli.script.ObserveEvent.Type]",eventStates,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"addObserver/4[PSC,org.sikuli.script.ObserverCallBack,java.lang.String,org.sikuli.script.ObserveEvent.Type]",minChanges,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"addObserver/4[PSC,org.sikuli.script.ObserverCallBack,java.lang.String,org.sikuli.script.ObserveEvent.Type]",eventCallBacks,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"addObserver/4[PSC,org.sikuli.script.ObserverCallBack,java.lang.String,org.sikuli.script.ObserveEvent.Type]",eventNames,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"addObserver/4[PSC,org.sikuli.script.ObserverCallBack,java.lang.String,org.sikuli.script.ObserveEvent.Type]",eventTypes,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,"addObserver/4[PSC,org.sikuli.script.ObserverCallBack,java.lang.String,org.sikuli.script.ObserveEvent.Type]",changeEventName,3
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,update/1[org.sikuli.script.ScreenImage],observedRegion,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\Observer.java,org.sikuli.support.Observer,update/1[org.sikuli.script.ScreenImage],lvl,2
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\GifDecoder.java,org.sikuli.ide.GifDecoder$GifFrame,"GifFrame/2[java.awt.image.BufferedImage,int]",image,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\GifDecoder.java,org.sikuli.ide.GifDecoder$GifFrame,"GifFrame/2[java.awt.image.BufferedImage,int]",delay,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\recorder\actions\PatternAction.java,org.sikuli.support.recorder.actions.PatternAction,setPattern/1[org.sikuli.script.Pattern],pattern,3
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\recorder\actions\PatternAction.java,org.sikuli.support.recorder.actions.PatternAction,getPattern/0,pattern,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\recorder\actions\PatternAction.java,org.sikuli.support.recorder.actions.PatternAction,PatternAction/1[org.sikuli.script.Pattern],pattern,3
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\EditorConsolePane.java,org.sikuli.ide.JTextPaneHTMLTransferHandler,createTransferable/1[javax.swing.JComponent],me,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\guide\TimeoutTransition.java,org.sikuli.guide.TimeoutTransition,actionPerformed/1[java.awt.event.ActionEvent],listener,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\guide\TimeoutTransition.java,org.sikuli.guide.TimeoutTransition,TimeoutTransition/1[int],timer,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\guide\TimeoutTransition.java,org.sikuli.guide.TimeoutTransition,waitForTransition/1[org.sikuli.guide.Transition.TransitionListener],timer,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\guide\TimeoutTransition.java,org.sikuli.guide.TimeoutTransition,waitForTransition/1[org.sikuli.guide.Transition.TransitionListener],listener,3
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\devices\HelpDevice.java,org.sikuli.support.devices.HelpDevice,stopVNC/0,classNameVNC,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\devices\MouseDevice.java,org.sikuli.support.devices.MouseDevice,start/0,deviceType,3
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\devices\MouseDevice.java,org.sikuli.support.devices.MouseDevice,start/0,usable,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\devices\MouseDevice.java,org.sikuli.support.devices.MouseDevice,isNotUseable/1[java.lang.String],notUseable,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\devices\MouseDevice.java,org.sikuli.support.devices.MouseDevice,setNotUseable/0,notUseable,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\devices\MouseDevice.java,org.sikuli.support.devices.MouseDevice,isUsable/0,usable,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\devices\MouseDevice.java,org.sikuli.support.devices.MouseDevice,at/0,deviceType,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\guide\Run.java,org.sikuli.guide.Run,testButton/0,guide,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\guide\Run.java,org.sikuli.guide.Run,setUp/0,guide,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\guide\Run.java,org.sikuli.guide.Run,tearDown/0,guide,2
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\support\runner\SikulixServer.java,org.sikuli.support.runner.SikulixServer$TasksCommand,TasksCommand/0,getTasks,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\support\runner\SikulixServer.java,org.sikuli.support.runner.SikulixServer$TasksCommand,TasksCommand/0,cancelTask,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\support\runner\SikulixServer.java,org.sikuli.support.runner.SikulixServer$TasksCommand,TasksCommand/0,getTask,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\support\runner\SikulixServer.java,org.sikuli.support.runner.SikulixServer$TasksCommand,getFilteredTasks/1[org.sikuli.support.runner.HttpServerExchange],getTasks,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\hotkey\HotkeyController.java,org.sikuli.hotkey.HotkeyController,setTerminating/1[boolean],isTerminating,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\hotkey\HotkeyController.java,org.sikuli.hotkey.HotkeyController,"installHotkey/2[java.lang.Object,java.lang.String[]]",hotkeys,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\hotkey\HotkeyController.java,org.sikuli.hotkey.HotkeyController,"installHotkey/2[java.lang.Object,java.lang.String[]]",hotkeyProvider,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\hotkey\HotkeyController.java,org.sikuli.hotkey.HotkeyController,removeHotkey/1[java.lang.String],hotkeys,5
C:\SikuliX1-master\API\src\main\java\org\sikuli\hotkey\HotkeyController.java,org.sikuli.hotkey.HotkeyController,removeHotkey/1[java.lang.String],hotkeyProvider,3
C:\SikuliX1-master\API\src\main\java\org\sikuli\hotkey\HotkeyController.java,org.sikuli.hotkey.HotkeyController,removeHotkey/1[java.lang.String],isTerminating,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\hotkey\HotkeyController.java,org.sikuli.hotkey.HotkeyController,initProvider/0,hotkeyProvider,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\hotkey\HotkeyController.java,org.sikuli.hotkey.HotkeyController,"addHotkey/2[org.sikuli.hotkey.HotkeyCallback,java.lang.String[]]",hotkeys,4
C:\SikuliX1-master\API\src\main\java\org\sikuli\hotkey\HotkeyController.java,org.sikuli.hotkey.HotkeyController,get/0,instance,4
C:\SikuliX1-master\API\src\main\java\org\sikuli\hotkey\HotkeyController.java,org.sikuli.hotkey.HotkeyController,"addHotkey/3[org.sikuli.basics.HotkeyListener,int,int]",oldFashionedKeys,2
C:\SikuliX1-master\API\src\main\java\org\sikuli\hotkey\HotkeyController.java,org.sikuli.hotkey.HotkeyController,stop/0,hotkeys,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\hotkey\HotkeyController.java,org.sikuli.hotkey.HotkeyController,stop/0,hotkeyProvider,4
C:\SikuliX1-master\API\src\main\java\org\sikuli\guide\SxText.java,org.sikuli.guide.SxText,paintComponent/1[java.awt.Graphics],label,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\guide\SxText.java,org.sikuli.guide.SxText,init/1[java.lang.String],label,3
C:\SikuliX1-master\API\src\main\java\org\sikuli\guide\SxText.java,org.sikuli.guide.SxText,updateComponent/0,label,5
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\animators\AnimatorTimeValueFunction.java,org.sikuli.support.animators.AnimatorTimeValueFunction,"AnimatorTimeValueFunction/3[float,float,long]",_endVal,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\animators\AnimatorTimeValueFunction.java,org.sikuli.support.animators.AnimatorTimeValueFunction,"AnimatorTimeValueFunction/3[float,float,long]",_totalTime,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\animators\AnimatorTimeValueFunction.java,org.sikuli.support.animators.AnimatorTimeValueFunction,"AnimatorTimeValueFunction/3[float,float,long]",_beginVal,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\animators\AnimatorTimeValueFunction.java,org.sikuli.support.animators.AnimatorTimeValueFunction,isEnd/1[long],_totalTime,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\PatternWindow.java,org.sikuli.ide.PatternWindow$ActionCancel,ActionCancel/1[java.awt.Window],_parent,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\guide\SxMagnet.java,org.sikuli.guide.SxMagnet,addTarget/1[org.sikuli.script.Pattern],targets,1
