file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\gui\SXDialog.java,org.sikuli.support.gui.SXDialog$ImageLink,mouseClick/1[java.awt.event.MouseEvent],false,2169,2,2,0,2,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\gui\SXDialog.java,org.sikuli.support.gui.SXDialog$ImageLink,"ImageLink/2[java.net.URL,java.lang.String]",true,2163,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,false
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\gui\SXDialog.java,org.sikuli.support.gui.SXDialog$ImageLink,ImageLink/1[java.net.URL],true,2158,1,1,0,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\SikulixIDE.java,org.sikuli.ide.SikulixIDE$ButtonOffset,captureComplete/1[java.awt.Rectangle],false,2851,3,3,0,3,4,5,17,0,7,1,5,0,0,0,1,0,0,1,2,7,0,2,0,0,0,15,1,0,false
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\SikulixIDE.java,org.sikuli.ide.SikulixIDE$ButtonOffset,ButtonOffset/0,true,2841,1,2,1,1,1,1,8,0,0,0,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0,16,0,0,false
C:\SikuliX1-master\API\src\main\java\org\sikuli\guide\SxAnchor.java,org.sikuli.guide.SxAnchor$Anonymous1,animationCompleted/0,false,84,1,2,0,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\SikuliX1-master\API\src\main\java\org\sikuli\natives\GenericOsUtil.java,org.sikuli.natives.GenericOsUtil$GenericOsProcess,isRunning/0,false,36,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\SikuliX1-master\API\src\main\java\org\sikuli\natives\GenericOsUtil.java,org.sikuli.natives.GenericOsUtil$GenericOsProcess,getName/0,false,31,0,0,0,0,1,3,3,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\SikuliX1-master\API\src\main\java\org\sikuli\natives\GenericOsUtil.java,org.sikuli.natives.GenericOsUtil$GenericOsProcess,equals/1[java.lang.Object],false,52,2,2,0,2,3,2,3,1,0,1,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,6,1,0,false
C:\SikuliX1-master\API\src\main\java\org\sikuli\natives\GenericOsUtil.java,org.sikuli.natives.GenericOsUtil$GenericOsProcess,close/1[boolean],false,41,0,0,0,0,2,4,10,2,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,false
C:\SikuliX1-master\API\src\main\java\org\sikuli\natives\GenericOsUtil.java,org.sikuli.natives.GenericOsUtil$GenericOsProcess,GenericOsProcess/1[java.lang.ProcessHandle],true,21,0,6,6,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\SikuliX1-master\API\src\main\java\org\sikuli\natives\GenericOsUtil.java,org.sikuli.natives.GenericOsUtil$GenericOsProcess,getPid/0,false,26,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\SikuliX1-master\API\src\main\java\org\sikuli\guide\Tracker.java,org.sikuli.guide.TrackerListener,patternAnchored/0,false,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\EditorPaneUndoRedo.java,org.sikuli.ide.EditorPaneUndoRedo,getUndoManager/0,false,27,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
