file,class,method,variable,usage
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\gui\SXDialog.java,org.sikuli.support.gui.SXDialog$ImageLink,mouseClick/1[java.awt.event.MouseEvent],e,0
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\gui\SXDialog.java,org.sikuli.support.gui.SXDialog$ImageLink,"ImageLink/2[java.net.URL,java.lang.String]",link,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\gui\SXDialog.java,org.sikuli.support.gui.SXDialog$ImageLink,"ImageLink/2[java.net.URL,java.lang.String]",url,1
C:\SikuliX1-master\API\src\main\java\org\sikuli\support\gui\SXDialog.java,org.sikuli.support.gui.SXDialog$ImageLink,ImageLink/1[java.net.URL],url,1
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\SikulixIDE.java,org.sikuli.ide.SikulixIDE$ButtonOffset,captureComplete/1[java.awt.Rectangle],x,2
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\SikulixIDE.java,org.sikuli.ide.SikulixIDE$ButtonOffset,captureComplete/1[java.awt.Rectangle],start,3
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\SikulixIDE.java,org.sikuli.ide.SikulixIDE$ButtonOffset,captureComplete/1[java.awt.Rectangle],y,2
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\SikulixIDE.java,org.sikuli.ide.SikulixIDE$ButtonOffset,captureComplete/1[java.awt.Rectangle],ox,3
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\SikulixIDE.java,org.sikuli.ide.SikulixIDE$ButtonOffset,captureComplete/1[java.awt.Rectangle],oy,3
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\SikulixIDE.java,org.sikuli.ide.SikulixIDE$ButtonOffset,captureComplete/1[java.awt.Rectangle],end,3
C:\SikuliX1-master\IDE\src\main\java\org\sikuli\ide\SikulixIDE.java,org.sikuli.ide.SikulixIDE$ButtonOffset,captureComplete/1[java.awt.Rectangle],selectedRectangle,2
