file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\data\DataView.java,com.google.samples.apps.ourstreets.data.DataView,interface,1,7,6,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,class,26,29,3,26,13,2,0,48,6,0.75,0.6666667,1.0,8,1,1,5,2,0,3,0,0,0,6,2,0,6,0,0,3,0,0,133,4,0,5,0,0,2,2,21,0,20,1,5,0,0,89,1,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\data\DataPresenter.java,com.google.samples.apps.ourstreets.data.DataPresenter$Anonymous1,anonymous,4,4,0,4,3,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,1,0,0,1,0,1,0,0,0,11,-1,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\view\RecyclerItemClickListener.java,com.google.samples.apps.ourstreets.view.RecyclerItemClickListener$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\animation-samples-main\RevealEffectBasic\Application\src\main\java\com\example\android\common\logger\LogView.java,LogView$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\ui\ThreeTwoImageView.java,com.example.android.unsplash.ui.ThreeTwoImageView,class,3,3,0,3,2,3,0,3,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,2,2,2,0,0,0,0,16,1,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\model\Gallery.java,com.google.samples.apps.ourstreets.model.Gallery$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$Anonymous1,anonymous,3,3,0,3,3,1,0,15,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,5,0,5,0,0,0,0,21,-1,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\data\JsonKeys.java,com.google.samples.apps.ourstreets.data.JsonKeys,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,12,0,0,0,0,0,10,0,10,0,10,0,0,0,0,24,1,0
C:\animation-samples-main\GridToPager\app\src\main\java\com\google\samples\gridtopager\fragment\ImagePagerFragment.java,com.google.samples.gridtopager.fragment.ImagePagerFragment$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,-1,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity$Anonymous2,anonymous,4,4,0,4,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,1,0,0,0,0,0,13,-1,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\fragment\BackPressAware.java,com.google.samples.apps.ourstreets.fragment.BackPressAware,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity$Anonymous3,anonymous,6,6,0,6,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,2,0,0,3,0,3,1,0,0,0,18,-1,0
C:\animation-samples-main\RevealEffectBasic\Application\src\main\java\com\example\android\common\logger\Log.java,Log,class,1,1,0,1,19,1,0,7,147,0.9375,0.0,0.0,18,18,18,0,0,0,18,0,0,0,8,8,7,1,0,0,7,0,0,66,1,0,1,0,0,0,1,8,0,8,1,0,0,0,99,1,0
C:\animation-samples-main\GridToPager\app\src\main\java\com\google\samples\gridtopager\fragment\ImagePagerFragment.java,com.google.samples.gridtopager.fragment.ImagePagerFragment$Anonymous2,anonymous,2,2,0,2,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,0,1,2,0,2,1,0,0,0,10,-1,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity$Anonymous4,anonymous,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity$Anonymous5,anonymous,0,0,0,0,3,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,6,0,1,0,1,0,0,0,4,-1,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,innerclass,8,8,0,8,26,2,0,15,133,0.87828946,0.11111111,0.44444445,19,0,18,1,0,0,18,0,0,0,16,0,0,16,0,0,10,0,1,122,10,0,0,0,7,0,5,27,13,27,1,0,0,0,82,10,0
C:\animation-samples-main\RevealEffectBasic\Application\src\main\java\com\example\android\common\logger\MessageOnlyLogFilter.java,MessageOnlyLogFilter,class,2,2,0,2,6,1,0,2,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,19,1,0,1,0,0,0,0,2,0,1,1,0,0,0,50,1,0
C:\animation-samples-main\BasicTransition\Application\src\main\java\com\example\android\common\logger\MessageOnlyLogFilter.java,com.example.android.common.logger.MessageOnlyLogFilter,class,2,7,5,2,6,1,0,2,0,0.2,0.6,0.6,5,0,5,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,19,1,0,1,0,0,0,0,2,0,1,1,0,0,0,50,1,0
C:\animation-samples-main\GridToPager\app\src\main\java\com\google\samples\gridtopager\adapter\GridAdapter.java,com.google.samples.gridtopager.adapter.GridAdapter$ViewHolderListenerImpl,innerclass,6,6,0,6,5,1,0,14,0,0.16666667,1.0,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,0,0,0,23,2,0,1,0,1,0,0,4,0,3,1,0,0,0,50,10,0
C:\animation-samples-main\Interpolator\Application\src\main\java\com\example\android\interpolator\InterpolatorFragment.java,com.example.android.interpolator.InterpolatorFragment,class,14,18,4,14,12,2,0,22,50,0.87878793,0.14285715,0.35714287,12,0,8,4,0,0,8,0,0,0,11,2,1,10,0,0,2,0,0,90,5,0,0,0,0,1,9,14,0,14,0,2,0,0,131,1,0
C:\animation-samples-main\GridToPager\app\src\main\java\com\google\samples\gridtopager\adapter\ImagePagerAdapter.java,com.google.samples.gridtopager.adapter.ImagePagerAdapter,class,4,5,1,4,3,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\map\DetailClusterManager.java,com.google.samples.apps.ourstreets.map.DetailClusterManager,class,10,11,1,10,3,2,0,7,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,18,0,0,1,0,0,0,0,1,0,1,1,0,0,0,28,17,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\view\GalleryDivider.java,com.google.samples.apps.ourstreets.view.GalleryDivider,class,5,6,1,5,2,2,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,12,0,0,0,0,0,0,0,5,0,1,0,0,0,0,15,1,0
C:\animation-samples-main\ActivitySceneTransitionBasic\app\src\main\java\com\example\android\activityscenetransitionbasic\Item.java,com.example.android.activityscenetransitionbasic.Item,class,1,5,4,1,9,1,0,2,0,0.6428572,0.42857143,0.71428573,7,1,6,0,0,1,7,0,0,0,6,3,1,5,0,0,5,0,0,36,7,1,1,0,0,26,0,6,3,6,2,0,0,0,53,1,0
C:\animation-samples-main\BasicTransition\Application\src\main\java\com\example\android\common\logger\LogNode.java,com.example.android.common.logger.LogNode,interface,0,4,4,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,0
C:\animation-samples-main\BasicTransition\Application\src\main\java\com\example\android\common\view\SlidingTabLayout.java,com.example.android.common.view.SlidingTabLayout$TabClickListener,innerclass,2,2,0,2,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,1,0,0,0,1,1,0,1,2,0,0,0,7,2,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\fragment\GalleryFragment.java,com.google.samples.apps.ourstreets.fragment.GalleryFragment,class,36,42,6,36,32,2,0,61,140,0.84375,0.1904762,0.2857143,20,1,7,13,0,0,7,0,0,0,8,2,1,7,0,0,2,0,4,200,8,0,8,0,2,4,4,26,0,22,1,6,0,0,146,1,0
C:\animation-samples-main\BasicTransition\Application\src\main\java\com\example\android\common\logger\LogWrapper.java,com.example.android.common.logger.LogWrapper,class,2,7,5,2,6,1,0,3,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,22,1,0,3,0,0,2,0,4,1,2,1,0,0,0,73,1,0
C:\animation-samples-main\GridToPager\app\src\main\java\com\google\samples\gridtopager\adapter\GridAdapter.java,com.google.samples.gridtopager.adapter.GridAdapter$ViewHolderListener,interface,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$TextResizeData,innerclass,1,1,0,1,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,8,0,8,0,0,0,8,0,0,20,0,0,0,0,0,0,0,8,0,8,0,0,0,0,43,8,0
C:\animation-samples-main\BasicTransition\Application\src\main\java\com\example\android\basictransition\MainActivity.java,com.example.android.basictransition.MainActivity,class,11,11,0,11,9,3,0,23,8,0.70000005,0.1,0.1,5,0,4,0,1,0,5,0,0,0,2,1,1,1,0,0,1,0,2,49,4,0,1,0,0,2,2,9,0,9,2,0,0,0,89,1,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\data\DataPresenter.java,com.google.samples.apps.ourstreets.data.DataPresenter,class,6,12,6,6,3,1,0,2,1,0.6,0.33333334,0.33333334,3,0,1,0,1,1,3,1,1,0,5,1,0,5,0,0,5,0,0,31,0,0,0,0,0,1,0,5,0,5,0,1,0,0,39,1024,0
C:\animation-samples-main\RevealEffectBasic\Application\src\main\java\com\example\android\common\logger\LogFragment.java,LogFragment,class,7,7,0,7,4,1,0,14,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,44,3,0,0,0,3,0,2,9,2,8,0,1,0,0,46,1,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\view\GalleryAdapter.java,com.google.samples.apps.ourstreets.view.GalleryAdapter,class,10,12,2,10,7,1,0,17,9,0.7321429,0.4,0.4,7,0,6,1,0,0,6,0,0,0,8,1,0,8,0,0,8,0,0,64,3,0,0,0,0,0,1,13,5,13,0,2,0,0,47,1,0
C:\animation-samples-main\BasicTransition\Application\src\main\java\com\example\android\basictransition\BasicTransitionFragment.java,com.example.android.basictransition.BasicTransitionFragment,class,10,12,2,10,9,2,0,14,4,0.5,0.16666667,0.16666667,4,1,4,0,0,0,4,0,0,0,5,0,0,5,0,0,0,0,0,54,2,0,1,0,0,0,0,12,0,10,1,0,0,0,49,1,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\ui\grid\PhotoAdapter.java,com.example.android.unsplash.ui.grid.PhotoAdapter,class,8,9,1,8,5,1,0,17,0,0.4,0.8,1.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,3,0,0,26,3,0,0,0,0,0,2,5,0,5,0,0,0,0,26,1,0
C:\animation-samples-main\ActivitySceneTransitionBasic\app\src\main\java\com\example\android\activityscenetransitionbasic\DetailActivity.java,com.example.android.activityscenetransitionbasic.DetailActivity,class,8,11,3,8,8,2,0,26,0,0.59999996,NaN,NaN,5,0,0,4,1,0,1,0,0,0,6,3,3,3,0,0,3,0,1,56,2,0,1,0,0,3,2,7,0,7,1,1,0,0,96,1,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\activity\MainActivity.java,com.google.samples.apps.ourstreets.activity.MainActivity,class,9,10,1,9,11,2,0,24,0,0.25,1.0,1.0,4,0,1,2,1,0,2,0,0,0,1,0,0,1,0,0,0,0,1,39,2,1,3,0,1,0,1,4,0,3,2,0,0,0,39,1,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\fragment\StreetViewFragment.java,com.google.samples.apps.ourstreets.fragment.StreetViewFragment,class,23,26,3,23,14,2,0,31,29,0.7888889,0.14285715,0.2857143,10,1,7,3,0,0,7,0,0,0,9,4,1,8,0,0,4,0,4,99,2,0,3,0,2,3,0,18,0,17,1,3,0,0,112,1,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\data\model\Photo.java,com.example.android.unsplash.data.model.Photo,class,5,13,8,5,5,1,0,8,0,0.44000006,0.6,0.6,5,0,4,0,1,0,5,0,0,0,10,2,9,1,0,0,10,0,2,56,2,0,0,0,0,1,1,18,0,10,0,1,0,0,39,1,0
C:\animation-samples-main\BasicTransition\Application\src\main\java\com\example\android\common\logger\LogFragment.java,com.example.android.common.logger.LogFragment,class,9,14,5,9,4,2,0,14,0,0.5,0.5,0.5,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,44,3,0,0,0,3,0,2,9,2,8,0,1,0,0,46,1,0
C:\animation-samples-main\CustomTransition\Application\src\main\java\com\example\android\customtransition\ChangeColor.java,com.example.android.customtransition.ChangeColor$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,0,1,1,0,0,0,10,-1,0
C:\animation-samples-main\OurStreets\app\src\test\java\com\google\samples\apps\ourstreets\model\GalleryTest.java,com.google.samples.apps.ourstreets.model.GalleryTest,class,7,7,0,7,11,1,0,13,0,0.47272724,1.0,1.0,11,0,11,0,0,0,11,0,0,0,5,0,0,5,0,0,0,0,0,57,0,0,0,0,0,3,9,10,0,8,0,0,0,0,28,1,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\model\Gallery.java,com.google.samples.apps.ourstreets.model.Gallery,class,8,17,9,8,31,1,0,20,0,0.66071427,0.53333336,0.8666667,16,0,14,1,1,0,15,0,0,0,7,1,1,6,0,0,6,0,0,116,19,1,12,0,5,0,10,20,10,10,1,1,0,0,48,1,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\data\GalleryPresenter.java,com.google.samples.apps.ourstreets.data.GalleryPresenter,class,7,9,2,7,2,2,0,3,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0,0,0,4,0,4,0,0,0,0,20,17,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\map\NoEmptyInfoWindowMarkerManager.java,com.google.samples.apps.ourstreets.map.NoEmptyInfoWindowMarkerManager,class,8,9,1,8,3,2,0,5,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,15,2,0,0,0,0,1,0,2,0,2,1,0,0,0,30,17,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\view\RecyclerItemClickListener.java,com.google.samples.apps.ourstreets.view.RecyclerItemClickListener,class,8,10,2,8,5,2,0,7,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,19,1,0,1,0,0,0,0,2,0,2,1,1,0,0,35,1025,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\data\DataUtils.java,com.google.samples.apps.ourstreets.data.DataUtils,class,3,5,2,3,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,3,0,3,0,0,0,0,21,17,0
C:\animation-samples-main\GridToPager\app\src\main\java\com\google\samples\gridtopager\fragment\ImagePagerFragment.java,com.google.samples.gridtopager.fragment.ImagePagerFragment,class,11,13,2,11,3,2,0,11,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,34,1,0,1,0,0,0,0,2,0,2,1,2,0,0,42,1,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\ui\TransitionCallback.java,com.example.android.unsplash.ui.TransitionCallback,class,2,3,1,2,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1025,0
C:\animation-samples-main\RevealEffectBasic\Application\src\main\java\com\example\android\common\logger\LogView.java,LogView,class,8,9,1,8,18,1,0,7,28,0.875,0.0,0.0,8,0,7,1,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,74,3,0,4,0,2,9,1,13,1,5,2,1,0,0,115,1,0
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\view\ViewUtils.java,com.google.samples.apps.ourstreets.view.ViewUtils,class,20,25,5,20,17,1,0,39,55,0.90909094,0.0,0.0,11,11,11,0,0,0,11,0,0,0,1,1,1,0,0,0,1,0,5,102,9,0,3,0,2,2,5,21,4,20,2,2,0,0,155,1,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\ui\ForegroundImageView.java,com.example.android.unsplash.ui.ForegroundImageView,class,7,9,2,7,22,2,1,23,0,0.2,0.62222224,0.62222224,10,0,7,0,3,0,10,0,0,0,1,0,0,1,0,0,0,0,0,71,3,0,10,0,1,0,4,3,0,3,3,0,0,0,66,1,0
