file,class,method,variable,usage
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,onCreate/1[com.example.android.unsplash.Bundle],relevantPhotos,1
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,onCreate/1[com.example.android.unsplash.Bundle],sharedExitListener,1
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,onCreate/1[com.example.android.unsplash.Bundle],grid,1
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,onCreate/1[com.example.android.unsplash.Bundle],empty,2
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,onSaveInstanceState/1[com.example.android.unsplash.Bundle],relevantPhotos,1
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,"onActivityReenter/2[int,com.example.android.unsplash.Intent]",grid,3
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,"onActivityReenter/2[int,com.example.android.unsplash.Intent]",TAG,1
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,setupRecyclerView/0,grid,3
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,displayData/0,relevantPhotos,1
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,populateGrid/0,relevantPhotos,1
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,populateGrid/0,grid,2
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,populateGrid/0,empty,1
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,setRight/1[float],right,4
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,"SwitchBitmapDrawable/8[com.example.android.unsplash.transition.TextView,int,com.example.android.unsplash.transition.Bitmap,float,float,com.example.android.unsplash.transition.Bitmap,float,float]",startWidth,3
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,"SwitchBitmapDrawable/8[com.example.android.unsplash.transition.TextView,int,com.example.android.unsplash.transition.Bitmap,float,float,com.example.android.unsplash.transition.Bitmap,float,float]",view,3
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,"SwitchBitmapDrawable/8[com.example.android.unsplash.transition.TextView,int,com.example.android.unsplash.transition.Bitmap,float,float,com.example.android.unsplash.transition.Bitmap,float,float]",endFontSize,3
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,"SwitchBitmapDrawable/8[com.example.android.unsplash.transition.TextView,int,com.example.android.unsplash.transition.Bitmap,float,float,com.example.android.unsplash.transition.Bitmap,float,float]",endBitmap,3
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,"SwitchBitmapDrawable/8[com.example.android.unsplash.transition.TextView,int,com.example.android.unsplash.transition.Bitmap,float,float,com.example.android.unsplash.transition.Bitmap,float,float]",verticalGravity,1
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,"SwitchBitmapDrawable/8[com.example.android.unsplash.transition.TextView,int,com.example.android.unsplash.transition.Bitmap,float,float,com.example.android.unsplash.transition.Bitmap,float,float]",startBitmap,3
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,"SwitchBitmapDrawable/8[com.example.android.unsplash.transition.TextView,int,com.example.android.unsplash.transition.Bitmap,float,float,com.example.android.unsplash.transition.Bitmap,float,float]",horizontalGravity,1
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,"SwitchBitmapDrawable/8[com.example.android.unsplash.transition.TextView,int,com.example.android.unsplash.transition.Bitmap,float,float,com.example.android.unsplash.transition.Bitmap,float,float]",startFontSize,3
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,"SwitchBitmapDrawable/8[com.example.android.unsplash.transition.TextView,int,com.example.android.unsplash.transition.Bitmap,float,float,com.example.android.unsplash.transition.Bitmap,float,float]",endWidth,3
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,setFontSize/1[float],fontSize,4
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,getTop/0,top,1
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,getBottom/0,bottom,1
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,draw/1[com.example.android.unsplash.transition.Canvas],startWidth,2
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,draw/1[com.example.android.unsplash.transition.Canvas],endFontSize,2
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\transition\TextResize.java,com.example.android.unsplash.transition.TextResize$SwitchBitmapDrawable,draw/1[com.example.android.unsplash.transition.Canvas],endBitmap,3
