file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\data\DataView.java,com.google.samples.apps.ourstreets.data.DataView,showData/1[java.util.List<T>],false,26,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\data\DataView.java,com.google.samples.apps.ourstreets.data.DataView,showError/0,false,33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,onCreate/1[com.example.android.unsplash.Bundle],false,71,4,2,0,2,2,10,13,0,0,1,10,2,2,0,1,0,0,0,0,3,0,1,0,0,0,31,4,0,false
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,onSaveInstanceState/1[com.example.android.unsplash.Bundle],false,134,1,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,"onActivityReenter/2[int,com.example.android.unsplash.Intent]",false,140,4,3,0,3,3,11,24,2,3,2,11,0,0,0,2,0,0,1,1,3,0,1,1,0,0,30,1,0,false
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,getActivityOptions/1[com.example.android.unsplash.PhotoItemBinding],false,210,4,1,1,0,2,6,17,1,8,1,6,0,0,0,1,0,0,0,0,9,0,1,0,0,0,18,2,0,false
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,"getDetailActivityStartIntent/4[com.example.android.unsplash.Activity,java.util.ArrayList<com.example.android.unsplash.data.model.Photo>,int,com.example.android.unsplash.PhotoItemBinding]",false,195,7,1,1,0,1,9,10,1,1,4,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,10,0,false
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,setupRecyclerView/0,false,171,2,2,1,1,1,6,18,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,15,2,0,false
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,displayData/0,false,89,5,3,1,2,2,5,18,0,1,0,5,1,1,0,1,0,0,0,0,1,0,1,1,0,0,19,2,0,false
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,populateGrid/0,false,114,2,3,2,1,1,3,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,2,0,false
