file,class,method,variable,usage
C:\animation-samples-main\OurStreets\app\src\main\java\com\google\samples\apps\ourstreets\data\DataView.java,com.google.samples.apps.ourstreets.data.DataView,showData/1[java.util.List<T>],data,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,onCreate/1[com.example.android.unsplash.Bundle],savedInstanceState,3
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,onSaveInstanceState/1[com.example.android.unsplash.Bundle],outState,2
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,"onActivityReenter/2[int,com.example.android.unsplash.Intent]",data,2
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,"onActivityReenter/2[int,com.example.android.unsplash.Intent]",selectedItem,2
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,"onActivityReenter/2[int,com.example.android.unsplash.Intent]",resultCode,0
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,"onActivityReenter/2[int,com.example.android.unsplash.Intent]",callback,2
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,"onActivityReenter/2[int,com.example.android.unsplash.Intent]",holder,2
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,getActivityOptions/1[com.example.android.unsplash.PhotoItemBinding],navBackground,3
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,getActivityOptions/1[com.example.android.unsplash.PhotoItemBinding],statusBackground,2
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,getActivityOptions/1[com.example.android.unsplash.PhotoItemBinding],authorPair,2
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,getActivityOptions/1[com.example.android.unsplash.PhotoItemBinding],navPair,1
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,getActivityOptions/1[com.example.android.unsplash.PhotoItemBinding],options,3
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,getActivityOptions/1[com.example.android.unsplash.PhotoItemBinding],binding,4
C:\animation-samples-main\Unsplash\app\src\main\java\com\example\android\unsplash\MainActivity.java,com.example.android.unsplash.MainActivity,getActivityOptions/1[com.example.android.unsplash.PhotoItemBinding],statusPair,2
