file,class,method,variable,usage
C:\markor-master\app\src\main\java\net\gsantner\markor\frontend\filesearch\FileSearchResultSelectorDialog.java,net.gsantner.markor.frontend.filesearch.FileSearchResultSelectorDialog$ExpandableSearchResultsListAdapter,getGroup/1[int],data,1
C:\markor-master\app\src\main\java\net\gsantner\markor\frontend\filesearch\FileSearchResultSelectorDialog.java,net.gsantner.markor.frontend.filesearch.FileSearchResultSelectorDialog$ExpandableSearchResultsListAdapter,"getGroupView/4[int,boolean,net.gsantner.markor.frontend.filesearch.View,net.gsantner.markor.frontend.filesearch.ViewGroup]",_context,1
C:\markor-master\app\src\main\java\net\gsantner\markor\frontend\filesearch\FileSearchResultSelectorDialog.java,net.gsantner.markor.frontend.filesearch.FileSearchResultSelectorDialog$ExpandableSearchResultsListAdapter,"getChild/2[int,int]",data,1
C:\markor-master\app\src\main\java\net\gsantner\markor\frontend\filesearch\FileSearchResultSelectorDialog.java,net.gsantner.markor.frontend.filesearch.FileSearchResultSelectorDialog$ExpandableSearchResultsListAdapter,"ExpandableSearchResultsListAdapter/2[net.gsantner.markor.frontend.filesearch.Context,java.util.List<net.gsantner.markor.frontend.filesearch.FileSearchEngine.FitFile>]",data,1
C:\markor-master\app\src\main\java\net\gsantner\markor\frontend\filesearch\FileSearchResultSelectorDialog.java,net.gsantner.markor.frontend.filesearch.FileSearchResultSelectorDialog$ExpandableSearchResultsListAdapter,"ExpandableSearchResultsListAdapter/2[net.gsantner.markor.frontend.filesearch.Context,java.util.List<net.gsantner.markor.frontend.filesearch.FileSearchEngine.FitFile>]",_context,1
C:\markor-master\app\src\main\java\net\gsantner\markor\frontend\filesearch\FileSearchResultSelectorDialog.java,net.gsantner.markor.frontend.filesearch.FileSearchResultSelectorDialog$ExpandableSearchResultsListAdapter,"getChildView/5[int,int,boolean,net.gsantner.markor.frontend.filesearch.View,net.gsantner.markor.frontend.filesearch.ViewGroup]",_context,1
C:\markor-master\app\src\main\java\net\gsantner\markor\frontend\filesearch\FileSearchResultSelectorDialog.java,net.gsantner.markor.frontend.filesearch.FileSearchResultSelectorDialog$ExpandableSearchResultsListAdapter,getChildrenCount/1[int],data,1
C:\markor-master\app\src\main\java\net\gsantner\markor\frontend\filesearch\FileSearchResultSelectorDialog.java,net.gsantner.markor.frontend.filesearch.FileSearchResultSelectorDialog$ExpandableSearchResultsListAdapter,getGroupCount/0,data,1
C:\markor-master\app\src\main\java\net\gsantner\opoc\util\GsContextUtils.java,net.gsantner.opoc.util.GsContextUtils$DoTouchView,DoTouchView/1[net.gsantner.opoc.util.View],m_view,1
C:\markor-master\app\src\main\java\net\gsantner\opoc\util\GsContextUtils.java,net.gsantner.opoc.util.GsContextUtils$DoTouchView,run/0,m_view,3
