file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,class,5,7,2,5,21,1,0,19,52,0.7538462,0.0,0.0,13,1,3,10,0,0,3,0,0,0,5,0,0,5,0,0,5,0,4,107,18,1,6,0,4,0,27,27,14,22,2,0,0,0,52,1,0
C:\mica-master\mica-metrics\src\main\java\net\dreamlu\mica\metrics\sentinel\SentinelMetricsExtension.java,net.dreamlu.mica.metrics.sentinel.SentinelMetricsExtension,class,4,4,0,4,7,1,0,9,0,0.76190484,0.71428573,0.71428573,7,0,7,0,0,0,7,0,0,0,9,9,8,1,0,0,9,0,0,34,0,0,0,0,0,8,1,11,6,11,0,0,0,0,49,1,0
C:\mica-master\mica-captcha\src\main\java\net\dreamlu\mica\captcha\config\MicaCaptchaAutoConfiguration.java,net.dreamlu.mica.captcha.config.MicaCaptchaAutoConfiguration,class,12,12,0,12,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,0,0,14,1,0
C:\mica-master\mica-http\src\main\java\net\dreamlu\mica\http\Exchange.java,net.dreamlu.mica.http.Exchange,class,17,26,9,17,31,1,0,35,244,0.8125,0.04761905,0.064935066,24,0,22,2,0,0,22,0,0,0,2,0,0,2,0,0,1,0,4,109,24,0,2,4,0,0,0,7,0,14,2,0,0,8,61,1,0
C:\mica-master\mica-lite\src\main\java\net\dreamlu\mica\lite\error\ErrorUtil.java,net.dreamlu.mica.lite.error.ErrorUtil,class,4,5,1,4,2,1,0,19,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,1,2,0,2,1,0,0,0,14,1,0
C:\mica-master\mica-jetcache\src\main\java\net\dreamlu\mica\jetcache\config\JetCacheMetricsConfiguration.java,net.dreamlu.mica.jetcache.config.JetCacheMetricsConfiguration,class,10,10,0,10,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,2,0,2,0,1,1,0,0,0,20,1,0
C:\mica-master\mica-core\src\main\java\net\dreamlu\mica\core\function\CheckedConsumer.java,net.dreamlu.mica.core.function.CheckedConsumer,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\mica-master\mica-prometheus\src\main\java\net\dreamlu\mica\prometheus\api\pojo\AlertMessage.java,net.dreamlu.mica.prometheus.api.pojo.AlertMessage,class,2,4,2,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,27,1,0
C:\mica-master\mica-core\src\main\java\net\dreamlu\mica\core\tuple\Pair.java,net.dreamlu.mica.core.tuple.Pair,class,8,10,2,8,9,1,0,1,0,0.53333336,0.33333334,0.5,5,4,4,1,0,0,4,0,0,0,3,1,0,3,0,0,3,0,3,36,7,0,4,0,0,3,0,3,0,3,1,0,0,0,31,1,0
C:\mica-master\mica-logging\src\main\java\net\dreamlu\mica\logging\config\MicaLoggingConfiguration.java,net.dreamlu.mica.logging.config.MicaLoggingConfiguration$LoggingCondition,innerclass,10,10,0,10,15,2,0,15,3,0.6666667,NaN,NaN,3,2,1,2,0,0,1,0,0,0,2,2,0,2,0,0,2,0,10,57,11,0,4,0,0,14,0,11,4,11,2,0,0,0,61,10,0
C:\mica-master\mica-core\src\main\java\net\dreamlu\mica\core\result\SystemCode.java,net.dreamlu.mica.core.result.SystemCode,enum,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,23,21,21,0,0,2,23,0,0,43,0,0,0,0,0,22,21,21,0,23,0,0,0,0,32,1,0
C:\mica-master\mica-activerecord\src\main\java\net\dreamlu\mica\activerecord\generator\CodeGenerator.java,net.dreamlu.mica.activerecord.generator.CodeGenerator$CodeGeneratorBuilder,innerclass,4,4,0,4,8,1,0,11,8,0.6875,0.2857143,1.0,8,0,7,1,0,0,7,0,0,0,6,0,0,6,0,0,0,0,1,57,8,0,0,0,0,10,0,15,5,14,0,0,0,0,31,9,0
C:\mica-master\mica-activerecord\src\main\java\net\dreamlu\mica\activerecord\jackson\ActiveRecordModule.java,net.dreamlu.mica.activerecord.jackson.ActiveRecordModule,class,4,5,1,4,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\mica-master\mica-prometheus\src\main\java\net\dreamlu\mica\prometheus\api\core\ReactivePrometheusApi.java,net.dreamlu.mica.prometheus.api.core.ReactivePrometheusApi,class,16,17,1,16,3,1,0,14,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,21,3,0,0,0,0,6,1,2,0,8,2,0,0,3,30,1,0
C:\mica-master\mica-core\src\main\java\net\dreamlu\mica\core\beans\MicaBeanCopierKey.java,net.dreamlu.mica.core.beans.MicaBeanCopierKey,class,3,4,1,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,1,0
