file,class,method,variable,usage
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"readRaw/3[byte[],long,int]",data,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,query/1[net.dreamlu.mica.ip2region.core.IpAddress],offLen,2
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,query/1[net.dreamlu.mica.ip2region.core.IpAddress],total,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,query/1[net.dreamlu.mica.ip2region.core.IpAddress],ipLen,2
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,query/1[net.dreamlu.mica.ip2region.core.IpAddress],indexStartOffset,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,readLocation/1[long],offLen,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,IpV6Searcher/1[byte[]],offLen,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,IpV6Searcher/1[byte[]],total,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,IpV6Searcher/1[byte[]],data,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,IpV6Searcher/1[byte[]],ipLen,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,IpV6Searcher/1[byte[]],indexStartOffset,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"find/3[net.dreamlu.mica.ip2region.core.IpAddress,long,long]",offLen,1
