file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"readRaw/3[byte[],long,int]",false,113,1,2,2,0,1,1,4,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,false
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,query/1[net.dreamlu.mica.ip2region.core.IpAddress],false,54,4,5,1,4,1,4,6,1,3,1,4,3,7,0,0,0,1,0,1,3,4,0,0,0,0,15,1,0,false
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,readLocation/1[long],false,96,2,6,2,4,4,4,14,4,1,1,4,4,3,0,3,0,0,0,6,2,1,1,0,0,0,7,2,0,false
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,IpV6Searcher/1[byte[]],true,42,2,3,1,2,1,2,7,0,0,1,2,2,3,0,0,0,0,0,4,5,0,0,0,0,0,15,2,0,false
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,readStr/1[long],false,139,2,2,1,1,2,3,10,1,2,1,3,1,1,1,1,0,0,0,2,3,0,1,0,0,0,10,2,0,false
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,read8/1[long],false,127,1,2,1,1,1,1,3,1,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,false
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"find/3[net.dreamlu.mica.ip2region.core.IpAddress,long,long]",false,61,3,6,2,4,3,4,14,3,3,3,4,2,2,0,0,0,2,0,3,3,6,1,0,0,0,16,2,0,false
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"readRaw/2[long,int]",false,118,2,2,1,1,1,1,4,1,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,false
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,readRecord/1[long],false,75,2,6,2,4,3,4,22,2,5,1,4,4,4,0,2,0,0,0,8,8,3,2,0,0,0,15,2,0,false
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,read1/1[long],false,123,0,4,4,0,1,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,false
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"read8/2[long,int]",false,131,2,5,4,1,1,4,7,1,2,2,4,1,1,0,0,0,0,0,1,2,0,0,0,0,0,8,2,0,false
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,newWithBuffer/1[byte[]],false,38,2,2,1,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,false
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,query/1[java.lang.String],false,50,3,3,1,2,1,1,3,1,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\mica-master\mica-metrics\src\main\java\net\dreamlu\mica\metrics\sentinel\SentinelMetricsExtension.java,net.dreamlu.mica.metrics.sentinel.SentinelMetricsExtension,"addPass/3[java.lang.String,int,java.lang.Object[]]",false,52,0,0,0,0,1,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\mica-master\mica-metrics\src\main\java\net\dreamlu\mica\metrics\sentinel\SentinelMetricsExtension.java,net.dreamlu.mica.metrics.sentinel.SentinelMetricsExtension,"addSuccess/3[java.lang.String,int,java.lang.Object[]]",false,62,0,0,0,0,1,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\mica-master\mica-metrics\src\main\java\net\dreamlu\mica\metrics\sentinel\SentinelMetricsExtension.java,net.dreamlu.mica.metrics.sentinel.SentinelMetricsExtension,"addException/3[java.lang.String,int,java.lang.Throwable]",false,67,0,0,0,0,1,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\mica-master\mica-metrics\src\main\java\net\dreamlu\mica\metrics\sentinel\SentinelMetricsExtension.java,net.dreamlu.mica.metrics.sentinel.SentinelMetricsExtension,"addRt/3[java.lang.String,long,java.lang.Object[]]",false,72,0,0,0,0,1,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\mica-master\mica-metrics\src\main\java\net\dreamlu\mica\metrics\sentinel\SentinelMetricsExtension.java,net.dreamlu.mica.metrics.sentinel.SentinelMetricsExtension,"addBlock/5[java.lang.String,int,java.lang.String,net.dreamlu.mica.metrics.sentinel.BlockException,java.lang.Object[]]",false,57,1,0,0,0,1,5,3,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\mica-master\mica-metrics\src\main\java\net\dreamlu\mica\metrics\sentinel\SentinelMetricsExtension.java,net.dreamlu.mica.metrics.sentinel.SentinelMetricsExtension,"decreaseThreadNum/2[java.lang.String,java.lang.Object[]]",false,83,1,0,0,0,1,2,4,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\mica-master\mica-metrics\src\main\java\net\dreamlu\mica\metrics\sentinel\SentinelMetricsExtension.java,net.dreamlu.mica.metrics.sentinel.SentinelMetricsExtension,"increaseThreadNum/2[java.lang.String,java.lang.Object[]]",false,77,1,0,0,0,1,2,4,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\mica-master\mica-captcha\src\main\java\net\dreamlu\mica\captcha\config\MicaCaptchaAutoConfiguration.java,net.dreamlu.mica.captcha.config.MicaCaptchaAutoConfiguration,imageCaptcha/1[net.dreamlu.mica.captcha.config.MicaCaptchaProperties],false,48,4,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\mica-master\mica-captcha\src\main\java\net\dreamlu\mica\captcha\config\MicaCaptchaAutoConfiguration.java,net.dreamlu.mica.captcha.config.MicaCaptchaAutoConfiguration,"imageCaptchaService/3[net.dreamlu.mica.captcha.config.MicaCaptchaProperties,net.dreamlu.mica.captcha.cache.ICaptchaCache,net.dreamlu.mica.captcha.core.Captcha]",false,56,7,1,0,1,1,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\mica-master\mica-http\src\main\java\net\dreamlu\mica\http\Exchange.java,net.dreamlu.mica.http.Exchange,toFile/1[java.io.File],false,236,2,2,0,2,1,2,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,true
C:\mica-master\mica-http\src\main\java\net\dreamlu\mica\http\Exchange.java,net.dreamlu.mica.http.Exchange,"onResponse/2[java.util.function.Function<net.dreamlu.mica.http.ResponseSpec,R>,java.util.function.BiFunction<net.dreamlu.mica.http.Request,java.io.IOException,R>]",false,68,5,1,0,1,2,4,8,2,1,2,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,11,1,0,false
C:\mica-master\mica-http\src\main\java\net\dreamlu\mica\http\Exchange.java,net.dreamlu.mica.http.Exchange,asValue/1[net.dreamlu.mica.http.TypeReference<T>],false,195,4,2,0,2,1,2,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,true
C:\mica-master\mica-http\src\main\java\net\dreamlu\mica\http\Exchange.java,net.dreamlu.mica.http.Exchange,"onSuccessOpt/1[java.util.function.Function<net.dreamlu.mica.http.ResponseSpec,R>]",false,100,3,1,0,1,1,2,3,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
