file,class,method,variable,usage
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"readRaw/3[byte[],long,int]",offset,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"readRaw/3[byte[],long,int]",size,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"readRaw/3[byte[],long,int]",dist,2
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,query/1[net.dreamlu.mica.ip2region.core.IpAddress],ip,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,query/1[net.dreamlu.mica.ip2region.core.IpAddress],ipFind,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,query/1[net.dreamlu.mica.ip2region.core.IpAddress],ipOffset,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,query/1[net.dreamlu.mica.ip2region.core.IpAddress],ipRecordOffset,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,readLocation/1[long],flag,2
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,readLocation/1[long],offset,6
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,IpV6Searcher/1[byte[]],cBuff,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,readStr/1[long],offset,3
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,readStr/1[long],os,2
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,readStr/1[long],ch,3
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,read8/1[long],offset,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"find/3[net.dreamlu.mica.ip2region.core.IpAddress,long,long]",r,3
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"find/3[net.dreamlu.mica.ip2region.core.IpAddress,long,long]",mip,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"find/3[net.dreamlu.mica.ip2region.core.IpAddress,long,long]",ip,3
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"find/3[net.dreamlu.mica.ip2region.core.IpAddress,long,long]",aip,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"find/3[net.dreamlu.mica.ip2region.core.IpAddress,long,long]",l,4
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"find/3[net.dreamlu.mica.ip2region.core.IpAddress,long,long]",m,3
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"readRaw/2[long,int]",offset,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"readRaw/2[long,int]",size,2
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"readRaw/2[long,int]",bytes,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,readRecord/1[long],flag,2
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,readRecord/1[long],offset,5
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,readRecord/1[long],rec1,3
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,readRecord/1[long],rec0,3
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,readRecord/1[long],recordInfo,3
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,readRecord/1[long],locationOffset,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,read1/1[long],offset,1
C:\mica-master\mica-ip2region\src\main\java\net\dreamlu\mica\ip2region\core\IpV6Searcher.java,net.dreamlu.mica.ip2region.core.IpV6Searcher,"read8/2[long,int]",b,2
