file,class,method,variable,usage
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,context_restore/1[long],nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"reg_set_vector/2[int,byte[]]",nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_read_vector/1[int],nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"mem_protect/3[long,long,int]",nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"mem_protect/3[long,long,int]",log,3
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"reg_write64/2[int,long]",nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"reg_write64/2[int,long]",log,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_read_cpacr_el1/0,nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_read_cpacr_el1/0,log,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,enable_single_step/1[boolean],nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,enable_single_step/1[boolean],log,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,context_save/1[long],nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,emu_stop/0,nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,emu_stop/0,log,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,disable_hw_breakpoint/1[int],nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,disable_hw_breakpoint/1[int],log,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"mem_map/3[long,long,int]",nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"mem_map/3[long,long,int]",log,3
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_read_nzcv/0,nativeHandle,1
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_read_nzcv/0,log,2
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_set_tpidrro_el0/1[long],nativeHandle,1
