file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\DalvikVM64.java,com.github.unidbg.linux.android.dvm.DalvikVM64$Anonymous19,handle/1[com.github.unidbg.Emulator<?>],false,276,5,159,0,159,5,9,15,1,3,1,9,0,0,0,2,0,0,2,2,3,1,1,0,0,0,18,1,1,false
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\apk\Apk.java,com.github.unidbg.linux.android.dvm.apk.Apk,getFileData/1[java.lang.String],false,23,1,3,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\apk\Apk.java,com.github.unidbg.linux.android.dvm.apk.Apk,getPackageName/0,false,19,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\apk\Apk.java,com.github.unidbg.linux.android.dvm.apk.Apk,getSignatures/0,false,17,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\apk\Apk.java,com.github.unidbg.linux.android.dvm.apk.Apk,getManifestXml/0,false,13,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\apk\Apk.java,com.github.unidbg.linux.android.dvm.apk.Apk,openAsset/1[java.lang.String],false,15,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\apk\Apk.java,com.github.unidbg.linux.android.dvm.apk.Apk,getParentFile/0,false,21,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\apk\Apk.java,com.github.unidbg.linux.android.dvm.apk.Apk,getVersionName/0,false,11,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\apk\Apk.java,com.github.unidbg.linux.android.dvm.apk.Apk,getVersionCode/0,false,9,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\DalvikVM64.java,com.github.unidbg.linux.android.dvm.DalvikVM64$Anonymous17,handle/1[com.github.unidbg.Emulator<?>],false,245,3,159,0,159,3,5,8,1,2,1,5,0,0,0,1,0,0,1,2,2,1,1,0,0,0,9,1,1,false
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\DalvikVM64.java,com.github.unidbg.linux.android.dvm.DalvikVM64$Anonymous18,handle/1[com.github.unidbg.Emulator<?>],false,257,5,159,0,159,4,9,15,2,3,1,9,0,0,0,1,0,0,3,2,3,1,1,0,0,0,20,1,1,false
C:\unidbg-master\unidbg-android\src\main\java\com\github\unidbg\linux\android\dvm\DalvikVM64.java,com.github.unidbg.linux.android.dvm.DalvikVM64$Anonymous180,handle/1[com.github.unidbg.Emulator<?>],false,2812,1,159,0,159,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"reg_write/3[long,int,long]",false,26,0,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,266,0,false
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"reg_set_nzcv/2[long,long]",false,30,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,266,0,false
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,emu_stop/1[long],false,47,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,266,0,false
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"reg_read/2[long,int]",false,40,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,266,0,false
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,getBRPs/1[long],false,54,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,266,0,false
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,context_restore/1[long],false,118,1,2,1,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"reg_set_vector/2[int,byte[]]",false,248,3,3,1,2,2,1,6,0,1,2,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,6,1,0,false
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_read_vector/1[int],false,239,3,3,1,2,2,1,9,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,8,1,0,false
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"mem_map/4[long,long,long,int]",false,23,0,1,1,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,266,0,false
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"mem_protect/3[long,long,int]",false,144,2,3,1,2,4,7,10,0,2,3,7,1,1,0,1,0,1,6,2,2,3,1,0,0,0,10,1,1,false
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,"reg_write64/2[int,long]",false,166,2,4,2,2,5,4,12,0,1,2,4,1,1,0,1,0,0,4,3,1,3,1,0,0,0,10,1,1,false
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_read_cpacr_el1/0,false,322,1,2,1,1,2,4,7,1,1,0,4,1,1,0,0,0,0,1,0,1,1,1,0,0,0,6,1,1,false
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,reg_read_sp64/1[long],false,41,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,266,0,false
C:\unidbg-master\backend\hypervisor\src\main\java\com\github\unidbg\arm\backend\hypervisor\Hypervisor.java,com.github.unidbg.arm.backend.hypervisor.Hypervisor,enable_single_step/1[boolean],false,65,1,4,3,1,2,3,6,0,0,1,3,1,1,0,0,0,0,1,0,0,1,1,0,0,0,4,1,1,false
